LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
L183NN056,39.46,41.96,44.35,46.0,45.94,45.17,42.32,38.98,34.7,30.78,27.43,24.18,21.43,18.97,16.85,14.74,12.85,11.27,10.07,9.14,8.36,7.71,7.43,7.49,8.12,9.26,10.56,11.52,12.21,12.8,14.39,48.24,-1.38,-39.03,39.06,267.97,261-8,0.43,F6J,0.35,,,,,FVF5192,,,FVF2184,0,0
L183NN059,9.19,7.06,6.12,5.06,4.21,3.67,3.32,3.16,3.1,3.11,3.27,3.58,4.16,5.21,6.41,7.76,9.59,13.33,19.75,29.64,43.84,59.94,73.09,82.75,87.79,88.79,89.28,88.08,86.58,85.84,86.29,50.38,56.89,45.91,73.1,38.91,F24-3,0.76,322-6,0.17,F4S-5,0.74,,,FVF5174,*,,FVF2666,0,0
L183NN060,10.59,8.1,6.87,6.01,5.22,4.58,4.01,3.59,3.24,2.98,2.83,2.75,2.75,2.85,3.07,3.45,4.22,5.94,8.83,12.98,17.93,21.45,22.87,23.5,24.29,25.95,29.88,34.99,41.84,46.63,54.43,33.21,36.16,12.68,38.32,19.33,F2I,0.83,F4S-5,1.6,264-1,0.21,,,FVF5174,,,FVF2666,0,0
L183NN061,51.89,53.63,54.13,53.62,52.3,50.77,48.79,47.12,44.97,42.49,39.82,36.84,34.04,31.19,28.66,26.51,24.83,22.95,21.09,20.01,20.01,20.02,19.38,18.61,18.77,20.9,26.48,34.54,45.73,53.28,63.83,60.46,-3.41,-26.59,26.8,262.68,142,0.018000000000000002,162,0.235,,,,,FVF5174,,,FVF2666,0,0
L183NN062,5.45,3.44,2.94,2.77,2.81,3.1,3.84,5.25,8.16,10.31,10.31,9.46,8.47,7.52,6.67,5.86,5.22,4.63,4.24,3.96,3.76,3.67,3.64,3.78,4.07,4.55,5.57,7.16,10.19,13.14,18.52,29.52,-19.45,8.67,21.29,155.96,322-6,0.987,228-9,0.025,F6S,1.415,,,FVF5174,,,FVF2666,0,0
L183NN063,9.06,7.04,6.02,5.35,4.75,4.33,3.95,3.7,3.44,3.21,2.96,2.78,2.65,2.58,2.63,2.71,2.97,3.38,4.3,5.77,8.14,11.53,15.21,18.95,22.33,25.93,30.88,36.84,44.52,49.62,56.88,27.34,31.03,3.96,31.28,7.26,432,0.7,F4I,1.85,264-1,0.06,,,FVF5174,,,FVF2666,0,0
L183NN064,6.06,3.91,3.37,3.12,3.26,3.64,4.69,6.78,11.76,17.31,19.89,20.74,20.94,20.57,19.03,16.62,14.12,11.91,10.03,8.5,7.16,5.95,5.01,4.41,3.98,3.69,3.42,3.22,3.11,3.24,3.67,43.81,37.17,26.02,45.37,145.01,F24-3,0.069,322-6,0.91,261-8,1.83,,,FVF5174,,,FVF2666,0,0
L183NN065,28.26,28.87,30.06,30.35,30.0,28.51,25.81,23.01,19.74,16.73,14.26,12.0,10.24,8.69,7.43,6.32,5.48,4.74,4.21,3.9,3.66,3.56,3.56,3.77,4.35,5.49,7.48,10.38,15.07,18.99,25.5,34.69,6.95,-40.82,41.4,279.67,F51-5,0.13,F6B-6,0.87,F6J,0.47,,,FVF5174,,,FVF2666,0,0
L183NN066,6.79,5.03,4.33,3.95,3.73,3.6,3.54,3.57,3.7,3.85,4.0,4.08,4.11,4.16,4.25,4.33,4.43,4.54,4.76,4.97,5.22,5.42,5.61,5.97,6.41,7.23,8.63,10.77,14.49,17.85,23.8,25.44,5.01,4.3,6.6,40.62,432,1.2,F4I,0.48,F6S,0.91,,,FVF5174,,,FVF2666,0,0
L183NN067,9.73,7.54,6.55,5.85,5.29,4.9,4.51,4.26,4.07,3.89,3.69,3.48,3.31,3.23,3.29,3.39,3.68,4.1,4.95,6.15,7.7,9.33,10.77,12.34,14.35,17.18,20.81,24.5,28.15,30.16,33.4,27.04,21.45,0.56,21.45,1.5,432,0.63,F4I,1.16,461-9,0.34700000000000003,,,FVF5174,,,FVF2666,0,0
L183NN069,7.88,5.56,4.67,4.22,4.0,3.99,4.52,5.64,7.37,9.16,10.82,12.93,17.07,24.73,35.67,48.58,58.51,64.55,68.69,71.6,73.91,75.77,77.16,78.58,79.9,81.35,82.73,83.94,85.18,85.87,86.74,72.84,26.72,78.49,82.91,71.2,F24-3,0.3,322-6,0.65,228-9,0.03,,,FVF5174,*,,FVF2666,0,0
L183NN099,68.37,71.39,72.31,72.68,72.24,70.81,69.3,67.83,65.22,63.14,62.18,60.19,58.36,59.07,60.81,60.9,60.45,65.19,73.12,80.17,84.69,86.43,86.97,87.16,87.2,87.45,87.9,87.11,86.91,87.97,89.43,85.93,15.28,-1.62,15.36,353.95,142,0.034,,,,,,,FVF4244,*,,FVF2184,0,0
L183NN104,12.05,9.65,8.54,7.86,7.35,7.0,6.75,6.61,6.51,6.43,6.27,6.02,5.75,5.48,5.31,5.16,5.03,4.98,4.99,5.04,5.13,5.22,5.34,5.61,6.05,6.8,8.21,10.33,14.16,17.71,23.97,28.23,2.56,-6.87,7.33,290.4,432,0.86,F4I,0.56,F6S,1.42,,,FVF5135,,,FVF2429,0,0
L183NN106,16.69,14.52,13.1,12.36,12.02,11.88,13.09,14.86,16.32,16.36,15.74,14.69,13.77,12.86,12.14,11.69,11.32,10.84,10.28,9.97,9.86,9.8,9.68,9.68,9.99,11.41,14.54,18.97,25.25,29.79,36.83,41.41,-6.68,-3.04,7.34,204.48,227-1,0.21,244-4,0.34,264-1,0.47,,,FVF5302,,,FVF2429,0,0
L183NN115,14.05,11.99,10.68,10.14,10.01,10.09,10.94,12.21,13.93,15.32,16.43,17.38,18.32,18.88,19.12,19.2,18.9,18.03,17.06,16.52,16.41,16.35,16.21,16.21,16.59,18.33,22.17,27.51,35.06,40.47,48.48,48.77,-6.2,14.97,16.2,112.49,227-1,0.075,228-9,0.33,264-1,0.16,,,FVF2775,,,FVF2666,0,0
L183NN121,17.95,16.7,15.99,15.08,13.88,12.45,10.89,9.55,8.09,6.82,5.81,4.95,4.31,3.83,3.54,3.25,3.02,2.85,2.75,2.7,2.67,2.64,2.67,2.87,3.46,4.78,7.54,12.03,19.81,26.13,35.82,24.15,11.62,-29.39,31.61,291.56,228-1,0.2,F4I,0.78,F51-5,0.08,F6J,1.38,FVF5166,,,FVF2666,0,0
L183NN132,48.58,47.46,43.65,41.76,40.92,38.26,41.17,45.76,46.54,45.17,43.86,41.5,39.29,38.71,38.48,37.47,36.23,36.9,37.77,38.08,38.58,38.87,38.12,36.94,36.96,39.48,46.17,55.27,66.21,72.16,79.29,68.89,-0.65,-3.57,3.63,259.76,122,0.041,142,0.07,162,0.066,,,FVF2666,,,FVF2666,0,0
L183NN146,50.8,48.67,44.12,41.88,40.89,38.06,40.92,45.52,46.43,45.1,43.77,41.35,38.96,38.26,37.96,36.85,35.53,36.02,36.75,37.05,37.56,37.85,37.06,35.9,35.98,38.69,45.52,54.62,65.33,71.51,78.88,68.44,-1.0,-4.3,4.41,256.96,122,0.059,142,0.098,162,0.106,,,FVF4244,,,FVF2184,0,0
L183NN147,23.53,21.53,20.38,19.65,19.19,18.79,18.56,18.47,18.41,18.32,18.17,18.02,17.86,17.58,17.36,17.22,16.99,16.61,15.92,15.45,15.36,15.29,15.11,15.1,15.5,17.35,21.37,26.86,34.33,39.49,46.94,48.32,-1.1,-4.1,4.25,255.05,228-1,0.26,244-4,0.158,264-1,0.32,,,FVF4244,,,FVF2184,0,0
L183NN148,28.55,29.05,29.7,30.09,29.83,28.91,26.78,24.18,20.85,17.63,14.84,12.38,10.59,8.91,7.52,6.43,5.7,5.03,4.47,4.18,4.01,3.98,4.0,4.17,4.5,5.05,6.21,8.09,11.72,15.33,21.91,35.32,6.17,-40.43,40.9,278.68,F51-5,0.3,F6B-6,1.95,F6J,0.06,,,FVF4244,*,,FVF2184,0,0
L184NS004,5.89,3.87,3.28,3.16,3.21,3.48,4.17,5.39,7.9,9.74,9.8,9.54,8.9,8.13,7.39,6.55,5.84,5.13,4.58,4.23,3.94,3.81,3.76,3.88,4.16,4.62,5.59,7.17,10.11,12.93,18.03,30.33,-18.84,8.75,20.77,155.09,322-6,0.92,F2I,0.47,F6B-6,2.06,,,FVF2775,,,FVF2666,0,0
L184CB001,12.66,12.22,11.68,11.37,11.47,11.82,14.6,18.48,23.05,25.55,24.76,22.37,19.66,16.88,14.32,11.81,9.66,7.9,6.5,5.4,4.51,3.76,3.25,2.9,2.69,2.57,2.44,2.34,2.3,2.46,2.72,41.78,-34.46,-5.82,34.95,189.59,227-1,0.25,261-8,2.45,F6C-5,1.35,,,FVF3113,,,FVF2666,0,0
L184CB002,55.55,57.11,57.07,57.43,57.76,58.74,61.88,65.88,69.72,71.82,71.87,71.23,69.5,67.0,64.1,60.81,57.46,53.96,50.68,47.71,44.69,41.83,39.19,37.17,35.7,34.69,33.65,32.82,32.31,32.44,34.08,80.79,-18.84,-3.03,19.08,189.12,227-1,0.004,261-8,0.065,,,,,FVF3113,,,FVF2666,0,0
L184NF021,12.69,10.03,8.8,8.15,7.8,7.61,7.62,7.77,8.3,9.09,9.95,10.86,11.96,13.26,14.88,16.97,19.29,21.67,23.71,25.18,26.43,27.32,27.57,27.88,28.7,31.02,35.71,42.04,50.36,55.89,63.65,49.49,15.3,26.34,30.46,59.85,432,1.3,244-4,0.26,264-1,0.145,,,FVF4024,,,FVF2184,0,0
L184NF023,12.59,9.99,8.99,8.24,7.71,7.34,7.02,6.82,6.63,6.47,6.29,6.13,5.99,5.93,5.99,6.13,6.43,6.9,7.85,9.24,11.1,13.14,15.0,17.01,19.51,22.85,27.13,31.56,36.0,38.4,42.13,34.17,18.91,2.25,19.04,6.79,432,1.0,F4I,1.65,461-9,0.42,,,FVF4024,,,FVF2184,0,0
L184NN004,11.29,9.27,8.6,8.06,7.77,7.5,7.25,7.04,6.76,6.42,6.06,5.72,5.38,5.05,4.82,4.56,4.34,4.19,4.08,4.01,3.98,3.99,4.04,4.23,4.57,5.16,6.29,8.07,11.36,14.55,20.34,26.49,1.0,-11.07,11.12,275.17,F2I,1.15,F4I,0.48,F6S,2.3,,,FVF3925,,,FVF2429,0,0
L184NN064,15.3,13.58,12.4,9.88,7.91,6.45,5.44,4.94,4.68,4.62,4.81,5.22,6.21,7.75,9.39,11.0,12.81,15.63,19.09,22.39,25.08,26.29,26.25,26.33,26.81,28.81,33.28,39.0,46.3,51.14,58.56,43.53,26.86,19.62,33.26,36.14,F24-3,0.79,F4S-5,0.59,264-1,0.15,,,FVF4244,,,FVF2184,0,0
L184NN091,61.03,63.58,65.07,67.32,69.03,69.77,71.74,73.41,73.53,72.93,72.39,71.13,69.74,69.6,69.51,68.8,68.27,69.0,70.09,70.52,71.1,71.5,71.04,70.26,70.24,72.13,76.26,80.89,85.14,86.81,88.57,87.13,0.01,0.19,0.19,88.18,142,0.0057,162,0.0052,122,0.0014,,,F15K0456,,,FVF2666,0,0
L184NN129,27.45,28.01,29.2,29.59,29.42,28.09,25.55,22.83,19.52,16.49,13.94,11.68,9.88,8.32,7.08,6.01,5.15,4.46,3.97,3.69,3.47,3.37,3.36,3.55,3.99,4.88,6.53,9.03,13.4,17.2,23.71,34.07,6.92,12.63,38.09,279.55,F51-5,0.132,F6B-6,1.3,F6J,0.6,,,FVF5192,,,FVF2184,0,0
L184NN130,9.97,7.72,6.58,5.66,4.9,4.28,3.73,3.38,3.09,2.85,2.72,2.66,2.66,2.76,2.95,3.27,3.92,5.5,8.3,12.34,17.27,20.92,22.48,23.21,24.14,26.1,30.47,36.07,43.43,48.39,56.07,32.62,36.27,13.07,38.56,19.82,F2I,1.0,F4S-5,2.8,264-1,0.15,,,FVF5192,,,FVF2184,0,0
L184NN135,68.2,70.22,69.81,69.78,69.76,68.75,70.85,73.62,74.35,74.0,73.5,72.19,70.79,70.6,70.46,69.74,69.15,69.81,70.58,70.93,71.43,71.77,71.14,70.22,70.28,72.38,77.09,82.17,86.55,88.15,89.76,87.48,-0.33,0.16,0.37,153.86,122,0.0031,142,0.0055,162,0.0052,,,FVF2775,,,FVF2666,0,0
L184NN136,22.43,20.22,19.25,18.73,18.48,18.41,18.67,19.09,19.74,20.45,21.27,22.27,23.35,24.43,25.57,26.86,27.93,28.39,28.45,28.41,28.59,28.69,28.58,28.62,29.17,31.53,36.39,42.88,51.17,56.48,63.87,57.92,3.24,12.45,12.86,75.4,228-1,0.22,244-4,0.052000000000000005,264-1,0.06,,,FVF2775,*,,FVF2666,0,0
L184NN137,37.08,33.74,29.01,26.64,25.74,23.26,26.25,31.12,32.47,31.77,30.8,28.77,26.9,26.86,27.27,26.75,26.06,27.57,30.11,31.68,32.88,33.28,32.51,31.38,31.43,34.05,41.14,50.92,62.86,69.54,77.62,60.9,3.69,2.65,4.55,35.68,122,0.112,142,0.163,162,0.08199999999999999,,,FVF2775,,,FVF2666,0,0
L184NN138,8.49,6.43,5.58,5.2,5.12,5.19,5.47,5.89,6.68,7.31,7.65,7.77,7.73,7.54,7.3,6.93,6.44,5.99,5.58,5.27,5.06,4.96,4.95,5.13,5.5,6.19,7.48,9.46,12.99,16.24,22.02,30.63,-7.89,3.64,8.69,155.24,322-6,0.185,432,0.64,F6S,1.1,,,FVF2775,,,FVF2666,0,0
L184NN139,9.06,7.28,6.6,6.12,5.73,5.38,5.03,4.75,4.43,4.1,3.77,3.48,3.19,2.96,2.83,2.7,2.6,2.52,2.5,2.52,2.54,2.58,2.63,2.76,2.94,3.32,3.98,5.15,7.55,10.02,14.68,20.21,3.75,-12.98,13.51,286.1,432,0.43,F4I,0.72,F6S,1.95,,,FVF2775,,,FVF2666,0,0
L184NN140,17.77,16.33,15.2,14.48,13.87,13.41,12.88,12.43,11.95,11.37,10.67,10.0,9.45,8.74,8.01,7.61,7.38,7.08,6.66,6.53,6.7,7.04,7.31,7.86,8.92,10.82,13.54,16.46,19.29,20.95,23.82,34.96,2.17,-14.3,14.46,278.65,F2I,0.3,F51-5,0.42,461-9,0.747,,,FVF2775,,,FVF2666,0,0
L184NN152,37.07,37.47,37.84,36.49,33.95,30.89,27.41,24.43,21.32,18.44,15.95,13.86,12.54,11.2,9.95,9.33,9.11,8.83,8.23,8.04,8.25,8.71,9.05,9.56,10.58,12.44,15.14,17.81,20.25,21.65,24.27,40.69,11.91,-35.62,37.55,288.49,244-4,0.17800000000000002,F51-5,0.62,F6B-7,0.715,,,FVF5166,,,FVF2666,0,0
L184NN153,43.04,45.22,46.71,45.7,42.59,38.8,34.09,30.01,25.86,22.12,18.7,16.06,14.53,12.78,11.06,10.38,10.48,10.45,9.77,9.65,11.31,14.11,16.47,18.6,21.55,26.11,33.09,41.34,51.55,57.52,64.98,45.1,20.92,-37.97,43.35,298.85,F51-5,0.93,F6J,0.15,,,,,FVF5166,,,FVF2666,0,0
L184NN154,23.18,21.26,20.35,19.78,19.39,19.01,18.84,18.78,18.75,18.69,18.6,18.47,18.32,18.01,17.76,17.57,17.2,16.75,16.1,15.65,15.55,15.48,15.34,15.34,15.72,17.41,21.03,25.95,32.7,37.51,44.82,48.68,-1.6,-3.91,4.23,247.73,228-1,0.191,244-4,0.122,264-1,0.226,,,FVF5302,*,,FVF2429,0,0
L184NN155,8.78,6.68,5.95,5.47,5.18,5.03,4.98,5.0,5.12,5.26,5.4,5.45,5.48,5.49,5.54,5.55,5.55,5.59,5.69,5.77,5.91,6.04,6.18,6.53,6.99,7.84,9.34,11.59,15.44,18.9,25.0,28.58,2.82,1.98,3.44,35.1,432,1.1,F4I,0.33,F6S,1.07,,,FVF5302,,,FVF2429,0,0
L184NN156,8.65,6.23,5.43,5.08,5.02,5.17,5.54,6.01,6.81,7.36,7.58,7.62,7.53,7.29,7.04,6.7,6.23,5.86,5.49,5.24,5.07,4.99,5.0,5.2,5.58,6.26,7.54,9.48,12.95,16.16,21.89,30.37,-7.33,3.24,8.01,156.15,322-6,0.28,432,0.68,F6S,1.42,,,FVF5302,,,FVF2429,0,0
L184NN157,35.38,32.88,27.95,25.85,25.23,23.03,27.11,34.43,39.19,39.84,39.25,37.28,35.27,34.53,34.02,32.82,31.6,31.82,31.94,32.02,32.32,32.52,31.74,30.73,30.85,33.46,40.12,49.3,60.44,66.8,74.91,66.68,-6.99,7.17,10.01,134.26,122,0.14,142,0.073,162,0.08900000000000001,,,FVF5302,,,FVF2429,1,0
L184NN158,9.0,7.0,6.26,5.7,5.39,5.13,4.96,4.85,4.75,4.66,4.54,4.42,4.26,4.13,4.1,4.08,4.14,4.24,4.47,4.71,4.99,5.22,5.45,5.77,6.25,7.04,8.42,10.45,14.04,17.31,23.09,25.51,6.16,-3.34,7.01,331.52,432,0.935,F4I,0.72,F6S,1.23,,,FVF5302,,,FVF2429,0,0
L184NN159,46.78,45.82,42.53,41.06,40.31,38.15,40.94,44.9,45.62,44.45,43.24,40.94,38.8,38.19,37.87,36.8,35.6,36.12,36.85,36.97,37.32,37.62,36.96,35.84,35.73,37.96,43.92,51.76,60.56,65.16,70.71,68.31,-1.2,-3.87,4.03,252.73,122,0.033,142,0.065,162,0.07,,,F15K0456,*,,FVF2666,0,0
L184NN164,52.44,52.44,50.16,49.28,48.75,47.03,50.31,54.86,56.23,55.93,55.28,53.37,51.57,51.4,51.32,50.46,49.72,50.69,52.14,52.72,53.33,53.81,53.35,52.54,52.57,54.81,60.35,66.77,73.2,76.56,80.53,77.41,-0.28,1.61,1.63,99.98,122,0.0185,142,0.027000000000000003,162,0.0245,,,F15K0456,,,FVF2666,0,0
L184NN165,38.66,37.38,36.6,36.08,35.59,35.17,34.84,34.72,34.58,34.34,34.17,33.99,33.9,33.83,33.86,34.11,34.46,34.54,34.38,34.17,34.19,34.24,34.09,34.08,34.53,36.64,41.03,46.62,53.54,57.96,64.12,65.56,1.57,-1.59,2.24,314.65,228-1,0.042,244-4,0.042,264-1,0.042,,,F15K0456,,,FVF2666,0,0
L184NN166,8.18,6.16,5.33,4.8,4.52,4.38,4.3,4.32,4.45,4.62,4.77,4.83,4.86,4.87,4.91,4.94,4.96,5.02,5.15,5.26,5.38,5.45,5.52,5.71,6.0,6.48,7.45,8.94,11.65,14.24,19.06,26.86,2.5,2.29,3.4,42.46,432,0.935,F4I,0.374,F6S,0.85,,,F15K0456,,,FVF2666,0,0
L184NN167,8.29,6.17,5.36,4.89,4.57,4.4,4.35,4.39,4.54,4.71,4.88,4.94,4.95,4.91,4.9,4.86,4.8,4.75,4.74,4.74,4.76,4.77,4.79,4.95,5.28,5.83,6.88,8.48,11.28,13.92,18.75,26.31,0.53,1.06,1.18,63.49,432,0.892,F4I,0.32,F6S,0.94,,,F15K0456,,,FVF2666,0,0
L184NN168,5.16,3.59,3.16,2.99,3.03,3.4,4.17,6.02,10.86,16.82,19.63,20.34,20.27,19.55,17.91,15.56,13.12,10.97,9.15,7.67,6.4,5.28,4.41,3.84,3.49,3.24,2.99,2.82,2.74,2.9,3.19,42.63,-38.34,25.81,46.22,146.05,322-6,1.02,F24-3,0.06,261-8,2.2,,,F15K0456,,,FVF2666,0,0
L184NN173,11.68,9.62,8.48,8.03,8.09,8.45,9.39,10.66,12.34,12.93,12.54,11.71,10.76,9.76,8.84,7.88,7.07,6.31,5.71,5.25,4.9,4.7,4.57,4.62,4.8,5.24,6.04,7.39,9.9,12.35,16.93,34.13,-14.8,-4.4,15.44,196.56,322-6,0.2,228-9,0.09,F6S,1.05,,,F15K0456,,,FVF2666,0,0
L184NN174,6.18,4.23,3.63,3.41,3.4,3.64,4.31,5.46,7.84,9.68,9.96,9.96,9.72,9.33,8.54,7.43,6.38,5.42,4.69,4.17,3.82,3.61,3.48,3.5,3.64,3.96,4.53,5.53,7.53,9.63,13.68,31.24,-21.69,9.45,23.66,156.45,322-6,0.8,F24-3,0.163,F6B-6,2.05,,,F15K0456,,,FVF2666,0,0
L184NN175,6.18,4.23,3.63,3.41,3.4,3.64,4.31,5.46,7.84,9.68,9.96,9.96,9.72,9.33,8.54,7.43,6.38,5.42,4.69,4.17,3.82,3.61,3.48,3.5,3.64,3.96,4.53,5.53,7.53,9.63,13.68,20.77,1.34,-8.42,8.53,279.03,432,0.63,F4I,0.65,F6S,1.96,,,F15K0456,*,,FVF2666,0,0
L184NN180,27.33,26.62,27.2,27.56,27.69,27.62,27.03,25.85,23.94,21.65,19.41,17.09,15.05,13.11,11.44,9.84,8.47,7.31,6.36,5.67,5.15,4.8,4.63,4.61,4.72,5.08,5.7,6.77,8.63,10.48,13.91,40.2,-5.92,-31.42,31.98,259.33,F6J,0.15,F6B-6,1.3,,,,,F15K0456,,,FVF2666,0,0
L184NN181,18.03,16.7,16.37,15.99,15.63,15.05,14.61,13.94,12.71,11.15,9.71,8.3,7.13,6.13,5.33,4.59,3.99,3.49,3.07,2.78,2.59,2.47,2.41,2.42,2.49,2.67,3.05,3.67,5.09,6.73,10.02,28.41,-0.86,-28.88,28.9,268.29,227-1,0.033,244-4,0.235,F6B-6,3.0,,,F15K0456,,,FVF2666,0,0
L184NN182,18.51,17.12,16.27,15.18,13.77,12.23,10.56,9.21,7.8,6.61,5.7,4.92,4.41,4.06,3.87,3.73,3.71,3.79,4.02,4.27,4.61,4.9,5.15,5.47,5.82,6.4,7.42,8.99,11.82,14.5,19.4,26.33,14.65,-25.24,29.19,300.14,F4I,0.94,F51-5,0.12,F6B-6,1.2,,,F15K0456,,,FVF2666,0,0
L184NN205,16.33,13.95,12.93,12.3,11.96,11.66,11.6,11.66,11.78,11.88,11.92,11.88,11.75,11.52,11.26,10.9,10.34,9.7,9.15,8.71,8.26,7.88,7.73,7.95,8.94,10.81,13.64,16.68,19.74,21.48,24.4,38.63,-4.46,-4.37,6.24,224.4,228-1,0.674,244-4,0.187,461-9,0.85,,,FVF5166,,,FVF2666,0,0
L184NN209,38.35,38.17,38.89,39.48,39.67,39.46,38.01,35.88,32.59,29.06,25.9,22.72,19.98,17.46,15.29,13.31,11.59,10.22,9.13,8.33,7.8,7.5,7.39,7.54,8.02,8.99,10.7,13.26,17.73,21.74,28.79,46.56,-2.6,-36.11,36.21,265.89,F6B-6,1.03,,,,,,,FVF5166,,,FVF2666,0,0
L184NN210,12.14,10.25,9.1,8.56,8.02,7.63,7.26,6.97,6.63,6.3,5.87,5.39,4.97,4.57,4.31,4.03,3.77,3.59,3.47,3.4,3.36,3.35,3.38,3.53,3.81,4.26,5.16,6.64,9.48,12.32,17.64,25.05,1.18,-14.15,14.2,274.78,432,0.54,F4I,0.43,F6S,2.0,,,FVF5166,,,FVF2666,0,0
L184NN211,5.03,3.05,2.61,2.46,2.46,2.66,3.16,4.63,9.35,16.93,22.65,26.23,29.14,32.35,35.92,40.23,44.43,48.65,52.37,55.47,58.38,60.81,62.22,63.15,64.42,66.69,70.36,74.31,78.48,80.7,83.26,69.46,12.42,74.87,75.9,80.58,322-6,2.1,228-9,0.37,264-1,0.06,,,FVF5166,,,FVF2666,0,0
