LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
L182NN015,67.71,69.88,71.12,72.42,73.65,74.67,76.8,78.64,80.31,80.99,80.99,80.41,79.24,77.68,75.87,73.65,71.32,68.68,65.98,63.44,60.78,58.13,55.5,53.44,51.98,50.95,49.95,49.01,48.56,48.75,50.8,87.56,-11.98,-3.56,12.5,196.55,227-1,0.001,261-8,0.03,,,,,FVF3073,,,FVF2184,0,0
L182NN018,9.07,7.16,6.53,6.1,5.93,5.8,5.74,5.73,5.75,5.77,5.79,5.8,5.81,5.76,5.71,5.61,5.46,5.32,5.19,5.1,5.04,5.04,5.1,5.32,5.74,6.5,7.88,10.03,13.82,17.29,23.36,28.28,-0.1,-1.67,1.67,266.71,F2I,1.4,F4I,0.156,F6S,1.18,,,FVF2666,,,FVF2666,0,0
L182NN020,8.61,6.32,5.35,4.72,4.21,3.88,3.62,3.47,3.38,3.34,3.35,3.37,3.45,3.66,4.04,4.61,5.75,8.23,12.56,19.02,27.51,35.26,40.18,43.23,45.48,48.06,52.81,58.01,64.01,67.45,72.87,40.42,45.09,28.57,53.38,32.36,264-1,0.02,432,1.05,F4S-5,1.4,,,FVF3032,,,FVF2666,0,0
L182NN021,67.22,69.25,68.82,66.55,62.94,58.43,54.3,50.93,46.44,43.35,41.87,39.26,37.12,37.85,39.61,39.57,38.93,44.48,54.51,64.27,70.87,73.6,73.53,72.66,72.81,74.07,78.74,83.55,87.62,88.93,90.62,75.48,26.45,-8.61,27.81,341.97,142,0.125,162,0.006999999999999999,,,,,FVF4948,,,FVF2429,0,0
L182NN025,6.38,4.43,3.86,3.63,3.58,3.7,4.0,4.43,5.16,5.63,5.74,5.67,5.45,5.11,4.81,4.43,4.0,3.68,3.39,3.2,3.06,3.01,3.0,3.1,3.26,3.63,4.36,5.66,8.41,11.33,16.94,24.65,-9.1,1.16,9.18,172.72,432,0.72,322-6,0.53,F6S,2.3,,,FVF4844,,,FVF2184,0,0
L182NN026,9.58,7.93,7.25,6.8,6.51,6.25,6.01,5.78,5.49,5.16,4.8,4.46,4.14,3.85,3.66,3.43,3.22,3.06,2.95,2.89,2.85,2.83,2.86,2.97,3.14,3.53,4.22,5.52,8.27,11.21,16.88,22.72,0.85,-12.54,12.57,273.88,F6S,2.4,F4I,0.42,F2I,0.735,,,FVF4844,*,,FVF2184,0,0
L182NN028,28.13,29.21,30.54,30.53,29.95,28.17,25.52,22.92,19.84,16.99,14.58,12.29,10.41,8.81,7.52,6.34,5.35,4.58,4.07,3.77,3.51,3.36,3.32,3.52,4.15,5.59,8.46,12.57,18.16,21.72,26.52,34.71,6.29,-40.72,41.21,278.78,228-1,0.029,F6J,0.95,F6B-7,0.59,,,FVF4844,*,,FVF2184,0,0
L182NN029,22.2,21.04,20.78,20.05,18.95,17.46,15.7,14.09,12.16,10.32,8.89,7.61,6.69,5.9,5.3,4.78,4.31,3.92,3.57,3.32,3.14,3.06,3.04,3.14,3.31,3.71,4.48,5.9,8.81,11.86,17.67,28.89,6.76,-32.69,33.38,281.68,227-1,0.0105,F6B-6,3.0,244-4,0.51,,,FVF4844,,,FVF2184,0,0
L182NN031,9.64,7.14,5.93,5.12,4.42,3.92,3.49,3.23,2.99,2.82,2.7,2.65,2.62,2.67,2.82,3.03,3.56,4.69,7.02,11.14,17.68,26.1,34.83,44.46,53.78,61.81,68.74,73.58,77.51,79.33,82.02,35.99,48.93,20.77,53.16,22.99,432,0.7,F4I,0.6,F4S-5,2.7,,,FVF4844,*,,FVF2184,0,0
L182NN034,46.13,44.79,42.13,38.59,34.3,29.78,25.3,21.71,18.21,15.32,13.2,11.45,10.31,9.59,9.29,9.32,9.56,11.11,14.28,20.11,30.53,44.3,56.22,65.05,69.64,71.73,76.33,79.48,81.77,82.42,86.17,56.88,0.3,15.01,15.01,88.85,264-1,0.1,228-9,0.34,244-4,0.021,,,FVF3172,,,FVF2184,0,0
L182NN035,40.87,38.84,37.48,36.59,35.92,35.23,34.84,34.71,34.57,34.42,34.29,34.17,34.17,34.2,34.32,34.7,35.05,35.12,34.87,34.57,34.54,34.57,34.4,34.42,34.98,37.3,41.96,47.9,55.22,59.88,66.44,65.53,1.62,-1.09,1.95,325.95,264-1,0.055,228-1,0.06,244-4,0.047,,,FVF3172,,,FVF2184,0,0
