400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,布號,revised,abort
35.59,39.51,43.37,46.76,49.69,52.93,54.94,54.98,53.07,50.05,46.59,42.6,38.62,34.45,30.6,26.93,23.52,20.51,17.92,15.75,13.81,12.02,10.7,9.85,9.5,9.29,9.16,8.95,8.84,8.98,10.13,60.24,-19.37,-28.05,34.08,235.37,F6C-5,1.5,FVF2429,0,0
28.8,32.51,36.34,39.74,42.74,46.16,48.06,47.49,44.67,41,37.21,33.2,29.42,25.66,22.21,18.93,16,13.44,11.35,9.67,8.22,6.93,6.05,5.55,5.29,5.18,5.12,5,5,5.15,5.86,52.88,-17.96,-32.76,37.36,241.26,F6C-5,3,FVF2429,0,0
57.55,60.81,63.13,65.04,66.24,66.94,67.26,67.02,65.83,63.77,61.46,58.77,56.2,53.29,50.76,48.45,46.17,44.01,42.13,40.68,39.66,39,38.92,39.11,40.2,42.11,44.93,48.33,55.35,59.99,67.2,75.85,-6.54,-15.52,16.84,247.14,F6B-6,0.06,FVF2429,0,0
40.65,42.44,43.72,44.68,45.01,44.95,43.95,42.12,39.05,35.87,32.84,29.91,27.26,24.79,22.58,20.53,18.69,17.05,15.66,14.64,13.93,13.52,13.4,13.52,14.25,15.52,17.51,19.95,25.37,29.55,36.68,54.53,-4.18,-29.34,29.63,261.88,F6B-6,0.5,FVF2429,0,0
29.12,30.23,31.16,31.76,31.95,31.73,30.57,28.8,25.96,23.11,20.47,17.92,15.7,13.73,11.97,10.39,9.06,7.9,7.01,6.39,6.04,5.75,5.69,5.77,6.19,6.91,8.18,9.78,13.91,17.38,23.31,41.72,-2.14,-34.28,34.34,266.43,F6B-6,1.5,FVF2429,0,0
22.45,23.14,23.92,24.41,24.54,24.25,23,21.2,18.47,15.81,13.45,11.26,9.45,7.95,6.7,5.62,4.77,4.08,3.59,3.27,3.09,2.96,2.94,3.01,3.2,3.58,4.25,5.09,7.91,10.57,15.41,32.81,2.29,-37.52,37.59,273.49,F6B-6,3,FVF2429,0,0
56.6,60.63,63.63,65.6,66.11,65.43,63.44,60.96,57.49,54.09,50.68,47.34,44.29,41.43,38.95,36.59,34.25,32.07,30.36,29.11,28.04,27.18,27.18,27.81,30.54,35.12,41.71,49.35,62.01,68.23,75.96,68.5,-2.81,-25.58,25.73,263.73,F6J,0.06,FVF2429,0,0
37.47,40.72,43.17,44.04,43.38,40.89,37.22,33.72,29.74,26.29,23.28,20.47,18.03,15.96,14.14,12.42,10.84,9.47,8.47,7.79,7.27,6.88,6.82,7.14,8.57,11.21,15.5,20.76,30.84,37.33,47.16,45.16,3.49,-39.78,39.93,275.01,F6J,0.5,FVF2429,0,0
7.13,29.9,32.1,32.79,32.01,29.42,25.77,22.42,18.75,15.65,13.08,10.82,9,7.52,6.36,5.33,4.48,3.79,3.35,3.09,2.91,2.76,2.76,2.89,3.48,4.66,7.1,10.52,18.93,24.65,33.29,32.78,11.18,-45.28,46.64,283.87,F6J,1.5,FVF2429,0,0
19.5,21.81,23.76,24.37,23.77,21.5,18.27,15.37,12.28,9.74,7.82,6.19,4.99,4.1,3.46,2.93,2.56,2.28,2.1,2.02,1.98,1.95,1.96,2.03,2.24,2.73,3.83,5.73,11.98,16.95,24.59,25.45,16.62,-44.45,47.45,290.5,F6J,3,FVF2429,0,0
